PROVINCIA,LECT_EN INICIO_2016,LECT_EN PROCESO_2016,MAT_EN INICIO_2016,MAT_EN PROCESO_2016,MEDIDA PROMEDIO MATEMATICA_2016,LECT_EN INICIO_2018,LECT_EN PROCESO_2018,MAT_EN INICIO_2018,MAT_EN PROCESO_2018,MEDIDA PROMEDIO MATEMATICA_2018,CUARTIL_2024,REGION_ANCASH,REGION_APURIMAC,REGION_AREQUIPA,REGION_AYACUCHO,REGION_CAJAMARCA,REGION_CUSCO,REGION_HUANCAVELICA,REGION_HUANUCO,REGION_ICA,REGION_JUNIN,REGION_LA LIBERTAD,REGION_LAMBAYEQUE,REGION_LIMA,REGION_LORETO,REGION_MADRE DE DIOS,REGION_MOQUEGUA,REGION_PASCO,REGION_PIURA,REGION_PUNO,REGION_SAN MARTIN,REGION_TACNA,REGION_TUMBES,REGION_UCAYALI
QUISPICANCHI,37.04166666666666,34.50833333333333,28.53333333333333,43.00833333333333,446.5833333333333,33.25833333333333,28.34166666666667,26.183333333333334,39.575,450.6666666666667,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
URUBAMBA,33.6,30.428571428571427,24.385714285714283,41.471428571428575,460.7142857142857,25.25714285714286,35.57142857142857,17.214285714285715,45.75714285714286,485.2857142857143,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ACOBAMBA,30.7875,28.9875,27.5875,39.525,461.375,29.8,40.4,16.7875,54.0875,481.75,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ANGARAES,31.558333333333334,37.28333333333334,15.808333333333332,37.175,491.6666666666667,36.73333333333333,27.766666666666666,18.41111111111111,50.12222222222223,464.1111111111111,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CASTROVIRREYNA,49.32,33.61,33.61,48.71,445.9,32.17,27.24,24.97,43.32,472.2,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CHURCAMPA,34.31,30.6,33.71,33.52,444.7,30.630000000000003,28.3,19.8,45.71,467.6,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HUANCAVELICA,33.805263157894736,33.189473684210526,27.657894736842103,35.63157894736842,449.89473684210526,32.60526315789474,27.210526315789476,23.457894736842103,45.03157894736842,470.10526315789474,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HUAYTARÁ,24.32,43.55,27.87,47.69,464.4,38.5,23.90909090909091,28.92727272727273,42.10909090909091,449.54545454545456,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TAYACAJA,38.894444444444446,34.19444444444444,27.5,43.144444444444446,442.77777777777777,32.5,27.85,22.36,39.89,477.1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AMBO,35.475,29.8,25.025,38.625,443.375,33.5125,29.2,26.8625,38.625,441.625,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
