"Resultados a nivel de distrito, de la Evaluación Censal de Estudiantes 2018 - Cuarto de primaria",,,,,,,
,,,,,,,
Código Geografico,REGION,PROVINCIA,DISTRITO,Cobertura IE,Cobertura Estudiantes,Medida Promedio en Comprensión Lectora,Medida Promedio en Matemática
030302,APURÍMAC,ANTABAMBA,EL ORO,"100,0","100,0",464,537
030303,APURÍMAC,ANTABAMBA,HUAQUIRCA,"100,0","86,1",431,440
030304,APURÍMAC,ANTABAMBA,JUAN ESPINOZA MEDRANO,"100,0","100,0",483,471
030305,APURÍMAC,ANTABAMBA,OROPESA,"100,0","100,0",382,384
030306,APURÍMAC,ANTABAMBA,PACHACONAS,"100,0","100,0",443,499
030307,APURÍMAC,ANTABAMBA,SABAINO,"100,0","100,0",455,491
030401,APURÍMAC,AYMARAES,CHALHUANCA,"100,0","100,0",530,531
030403,APURÍMAC,AYMARAES,CARAYBAMBA,"100,0","100,0",473,462
030404,APURÍMAC,AYMARAES,CHAPIMARCA,"100,0","100,0",403,422
030405,APURÍMAC,AYMARAES,COLCABAMBA,"100,0","100,0",412,399
030406,APURÍMAC,AYMARAES,COTARUSE,"100,0","100,0",441,452
030408,APURÍMAC,AYMARAES,JUSTO APU SAHUARAURA,"100,0","100,0",396,413
030409,APURÍMAC,AYMARAES,LUCRE,"100,0","100,0",358,405
030410,APURÍMAC,AYMARAES,POCOHUANCA,"100,0","100,0",422,414
030411,APURÍMAC,AYMARAES,SAN JUAN DE CHACÑA,"100,0","100,0",477,547
030412,APURÍMAC,AYMARAES,SAÑAYCA,"100,0","100,0",383,395
030413,APURÍMAC,AYMARAES,SORAYA,"100,0","100,0",469,437
030414,APURÍMAC,AYMARAES,TAPAIRIHUA,"100,0","100,0",474,480
030415,APURÍMAC,AYMARAES,TINTAY,"100,0","100,0",435,463
030416,APURÍMAC,AYMARAES,TORAYA,"100,0","100,0",460,466
030417,APURÍMAC,AYMARAES,YANACA,"100,0","100,0",486,440
030501,APURÍMAC,COTABAMBAS,TAMBOBAMBA,"100,0","97,8",421,438
030502,APURÍMAC,COTABAMBAS,COTABAMBAS,"100,0","94,5",476,486
030503,APURÍMAC,COTABAMBAS,COYLLURQUI,"100,0","100,0",421,433
030504,APURÍMAC,COTABAMBAS,HAQUIRA,"100,0","98,9",432,446
030505,APURÍMAC,COTABAMBAS,MARA,"100,0","96,1",386,395
030506,APURÍMAC,COTABAMBAS,CHALLHUAHUACHO,"100,0","99,4",459,448
030601,APURÍMAC,CHINCHEROS,CHINCHEROS,"100,0","98,9",464,467
030602,APURÍMAC,CHINCHEROS,ANCO_HUALLO,"100,0","97,5",445,454
030603,APURÍMAC,CHINCHEROS,COCHARCAS,"100,0","100,0",485,463
030604,APURÍMAC,CHINCHEROS,HUACCANA,"100,0","100,0",442,474
030605,APURÍMAC,CHINCHEROS,OCOBAMBA,"100,0","98,3",433,436
030606,APURÍMAC,CHINCHEROS,ONGOY,"100,0","100,0",441,452
030607,APURÍMAC,CHINCHEROS,URANMARCA,"100,0","100,0",418,427
030608,APURÍMAC,CHINCHEROS,RANRACANCHA,"100,0","100,0",388,382
030609,APURÍMAC,CHINCHEROS,ROCCHACC,"100,0","100,0",438,433
030701,APURÍMAC,GRAU,CHUQUIBAMBILLA,"100,0","100,0",518,518
030702,APURÍMAC,GRAU,CURPAHUASI,"100,0","100,0",424,406
030703,APURÍMAC,GRAU,GAMARRA,"100,0","97,0",375,368
030705,APURÍMAC,GRAU,MAMARA,"100,0","100,0",440,470
030706,APURÍMAC,GRAU,MICAELA BASTIDAS,"100,0","100,0",455,449
030707,APURÍMAC,GRAU,PATAYPAMPA,"100,0","95,2",419,475
030708,APURÍMAC,GRAU,PROGRESO,"100,0","100,0",435,452
030709,APURÍMAC,GRAU,SAN ANTONIO,"100,0","100,0",368,395
030710,APURÍMAC,GRAU,SANTA ROSA,"100,0","100,0",361,389
030711,APURÍMAC,GRAU,TURPAY,"100,0","100,0",457,421
030712,APURÍMAC,GRAU,VILCABAMBA,"100,0","100,0",489,533
030713,APURÍMAC,GRAU,VIRUNDO,"100,0","100,0",433,443
040101,AREQUIPA,AREQUIPA,AREQUIPA,"100,0","98,4",545,532
040102,AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE,"100,0","98,5",514,510
040103,AREQUIPA,AREQUIPA,CAYMA,"100,0","98,2",521,518
040104,AREQUIPA,AREQUIPA,CERRO COLORADO,"100,0","98,3",517,511
040105,AREQUIPA,AREQUIPA,CHARACATO,"100,0","97,5",477,500
040106,AREQUIPA,AREQUIPA,CHIGUATA,"100,0","93,1",465,485
040107,AREQUIPA,AREQUIPA,JACOBO HUNTER,"100,0","97,9",508,503
